userName,score,at,EnglishTranslation,BERT_Sentiment
Pengguna Google,1,2025-03-15 13:05:26,"Shopee Good quality Severe Sending the main system of Shopee Express Express Express, disappointed package x report courier courier inter -courier wa between responsive couriers Package Receive the CONNECT REGIONAL SEND Crazy or not",Negative
Pengguna Google,4,2025-03-16 04:29:12,Apk Shopping Easily Agam Choose a Shop Believe Voucher Sometimes the cost of shipping is expensive promo Draw a transparent event There is a flash sale of the beautiful date the community is confused Flash Sale all the time to participate,Negative
Pengguna Google,1,2025-03-15 14:16:55,"Pay Electricity Pay Write Download the Loading Feature Please wait a minute already at a while, how do you not add to add the wifi internet net g ms ms ping low, super -keenng server shopee is ugly",Negative
Pengguna Google,1,2025-03-15 05:13:35,Open directly on Live Video like the method of seeing the Live Video Noisy Video Ngebug Bad really moved the homepage directly profile checkout directly close the application lazy checkout just change the uninstall to be comfortable lazy using shopee,Negative
Pengguna Google,1,2025-03-15 08:03:40,"The application is not re -restarted the data disappeared when you try to log in to shoope, the email is correct, the password is right, the face verification is not verified, the face fails to log in, please the option to be safe, the face is not told to enter the password.",Negative
Pengguna Google,2,2025-03-15 08:13:43,Ken shopping using ShoopePay Limited Items Duration Just the hours when paying the download don't know the wifi is very smooth to fit the features until the limit is finished selling upset,Negative
Pengguna Google,5,2025-03-15 11:22:43,help women lazy shopping eheheh looking for shopee all staying waiting for beautiful prices too many discounts promo free shipping materials also don't know the shop also thanks shopee MOGA SUCCESS,Positive
Pengguna Google,1,2025-03-15 10:55:47,"open the shopee application automatically the live session is very disturbing to be quiet bothering people strange applications strange, select the user please enter the home menu open the application",Negative
Pengguna Google,5,2025-03-15 08:14:08,"Shopee is good, it's not a smooth constraint for free postage cashback discounts if it is not in accordance with the return of the complaint if you pay if you pay using a smooth debit if you",Neutral
Pengguna Google,1,2025-03-13 15:01:27,"The transaction canceled the system already tried to buy it or not funny, I already transacted a totality million because of x checkout, the item paid hours.",Negative
Pengguna Google,1,2025-03-09 04:28:43,Open the application directly the video ad video so it doesn't stop the sound application sound sometimes an orderly basket advertisement,Negative
Pengguna Google,1,2025-03-13 02:25:27,"Update The delivery is already the day, update the disappointed application, the SPX expedition is slow to change the status, it doesn't need a vuocher because it doesn't need to need it, please send it quickly to wait",Negative
Pengguna Google,1,2025-03-15 22:07:21,"The bad is the platinum agent serving both the disappointed account shopping agent Team Sending the estimation is not chatting repeatedly not slow, Gin is wrong, it is difficult to contact disappointed la",Negative
Pengguna Google,4,2025-03-15 13:00:44,KANAN SAFE TRANSACTIONS dear Shopee Pay Pay Methods according to the original price of goods using vouchers discount prices when balanced balances don't check out balances not according to the original price of goods please delete the top up feature,Neutral
Pengguna Google,5,2025-03-14 19:02:29,"front like a heavy application hp JD Lot Open the Shopee application, just surf the product is looking for the comments of watching the shopee lot video, because it is upset, close the application of good wifi net quality",Negative
Pengguna Google,2,2025-03-15 20:39:39,Update Lot just Ne Shopee doesn't open a video of a picture of a photo shooter appearing on my wifi wifi open open APK MP smoothly just go downstairs just to lose her quality losing TT,Negative
Pengguna Google,1,2025-03-11 09:38:54,"Shopee, if you enter directly, live video, make the lot disturb because I just click Cancel, the sound of the live video, and the checkout is not just going to go on the normal internet net",Negative
Pengguna Google,1,2025-03-09 02:35:43,Send SPX Slow Slow Fast Send Bad Shopee System Priority System Send SPX Level Level Send SPX Competitive Services Send priority SPX Good for option to buy Select Services Send Checkout,Negative
Pengguna Google,1,2025-03-09 07:59:55,SUGGESTION SHOPEE CLICK MESSAGE COMPLETS OPTION X DIRECTUT TUNCH Mobile screen,Negative
Pengguna Google,4,2025-02-23 20:54:41,"Please work, please open the Shopee application, the patience test for a smooth net signal clear chace seconds, the cellphone is big when opening the Lot Ampun application, if you check the description of the video, the video.",Negative
Pengguna Google,1,2025-03-15 12:23:42,"Sorry, give the star Send SPX Express Shopee Poor Send according to the estimation of the Date of the Date Front Express Express Express Express Pay Pay Using Shopee Pay Orders Completed Item Value Thank You Costumer Features accidentally click the Costumer Section, please please the new application",Negative
Pengguna Google,1,2025-03-16 09:34:16,"the apk is really heavy, the original download is really shopeepay, then stuk and then the net spinage is good, please loss",Negative
Pengguna Google,1,2025-03-10 06:38:34,Update Open the Shopee Application User Forced to enter Shopee Video Automatically Eat Data Quota Data Call forced to open the automatic video in the video page click Home Audio Video Video Response Mobile Clear Clear Cache Log Outout Log in please force the user to enter the video,Negative
Pengguna Google,1,2025-03-16 04:37:39,"Mon is disappointed with Shopee buying with Vocer, then vocer then Vocer buying real products Shopee Suggestions If the limit for vocer please sort out real fictitious",Negative
Pengguna Google,1,2025-02-24 17:07:17,Stars are not hit by violating because the promo account event is not shopping for VC Discount or what is not outside using VC discount or not the template solution is to send,Positive
Pengguna Google,5,2025-03-08 02:33:33,"Yamin's suggestion when the courier package is good, buy, tell me, let's know the number of the courier, the problem of the problem, samples of the hunting house with the package, is easy to have a package. Thank you, thank you",Positive
Pengguna Google,2,2025-03-16 06:35:32,Shopee Indonesia updated the Lot application if the Shopee application Ujung Ujung nge bug advice to weigh Shopee Eradication,Negative
Pengguna Google,1,2025-03-03 08:50:18,the application here error ngebug lot really good new new version good good good service. Application often error really difficult to chat cs cs service,Neutral
Pengguna Google,3,2025-03-16 15:31:06,"very satisfied using the shopee shopping application, sorry, I'm sorry to buy Shopee Items Torn Open, please tell the expedition like to open the consumer message",Positive
Pengguna Google,1,2025-02-28 03:57:38,"Year of Using Safe Shopee Comfortable So Favorite Online Shopping Shopping Is it difficult to buy it needs to be canceled the text of the reasonable activity or not, Vocer is available Shopee items need a house that is disappointed so it is not complicated to use Shopeeny shopping",Positive
Pengguna Google,1,2025-03-03 04:04:33,bad sending regular fast week already regular spx courier to different regular regular jnt sicepat week already until sad just update the SPX sending service is slow,Negative
Pengguna Google,1,2025-03-16 15:59:47,Shopee here is like gin already x the package it is x the item is not sent then the balance of shopee pay is cut when you look at the goggle play when you look at the transaction hours when you go to sleep the position of the cellphone is strange,Negative
Pengguna Google,1,2025-03-12 10:17:11,"Look for the history to appear, look for a typing advice, look for relevant according to the term, change the term, change the own right when the message button is complete",Positive
Pengguna Google,2,2025-03-14 17:53:28,Please be good to be consistent with shopee apk if personal shopee is bad send according to hp tv ads thank you,Neutral
Pengguna Google,5,2025-03-12 02:22:45,"Sorry, Bintang take it because the application is now ordering options Sending the Pay Method Ga Bs can change mode Find Filter Function Product Function Product Detailed Filter Re -Function Please Add Good Info Open Pages Good Page",Negative
Pengguna Google,5,2025-03-16 14:31:10,"the application is good for the discount, send it quickly, please sell shopee gold, the gold message, sometimes the message is according to the message, please, please understand, thank you",Neutral
Pengguna Google,5,2025-03-06 13:16:15,"why how come you go to go around like a topping, the signal is safe, good, it's good, not a picture",Positive
Pengguna Google,1,2025-03-12 17:33:45,Send using the SPX expedition to be disappointed Sunday Package Stuck Motion Package Urgent please good work system Consument loss CS complaints if the road,Negative
Pengguna Google,2,2025-03-16 13:58:00,"Good Application Open Shopee directly enter the live menu video making a cellphone lag, the menu appears open shopee again the shape of the apk enter the main menu handover consumers enter the live menu not difficult",Positive
Pengguna Google,1,2025-03-15 23:52:09,That's all the Severe Online Shopping Shopping Applications CSEt CS CS GA COOPERATIVE Until Hands Back the Funds Slow Funds Receive Goods Receive Money Back,Negative
Pengguna Google,1,2025-03-09 12:36:57,"Message button accept G, making double check spy klw g",Negative
